 Abbeville   	  Coaling   	  Goldville   	  Maplesville   	  Russellville
Bremen 	Equality 	Irvington 	Pansey 	Town Creek
Brent 	Erin 	Ivalee 	Parrish 	Townley
Brewton 	Estillfork 	Jachin 	Patsburg 	Toxey
Bridgeport 	Ethelsville 	Jack 	Paul 	Trafford
Brierfield 	Eufaula 	Jackson 	Pelham 	Trenton
Brighton 	Eunola 	Jacksons Gap 	Pell City 	Triana
Brilliant 	Eutaw 	Jacksonville 	Pennington 	Trinity
Bromley 	Eva 	Jasper 	Perdido 	Troy
Brooklyn 	Evergreen 	Jefferson 	Perdido Beach 	Trussville
Brookside 	Excel 	Jemison 	Perdue Hill 	Turnerville
Brookwood 	Fabius 	Jones 	Perote 	Tuscaloosa
Browns 	Fackler 	Joppa 	Peterman 	Tuscumbia
Brownsboro 	Fadettes 	Josephine 	Peterson 	Tuskegee
Brundidge 	Fairfax 	Kansas 	Petrey 	Tyler
Bryant 	Fairfield 	Keego 	Phenix City 	Union
Bucks 	Fairford 	Kellerman 	Phil Campbell 	Union Grove
Buena Vista 	Fairhope 	Kelly Springs 	Piedmont 	Union Springs
Buhl 	Fairview 	Kellyton 	Pike Road 	Uniontown
Bull Slough 	Falkville 	Kennedy 	Pinckard 	Uriah
Burkville 	Fannie 	Kent 	Pine Apple 	Valhermoso Springs
Burmuda 	Farmersville 	Keystone 	Pine Hill 	Valley
Burnt corn 	Faunsdale 	Keyton 	Pine Level 	Valley Head
Burntout 	Fayette 	Killen 	Pinegrove 	Vance
Burnwell 	Fellowship 	Kimberly 	Pinson 	Vandiver
Butler 	Fernbank 	Kingville 	Pisgah 	Verbena
Bynum 	Firms 	Kinsey 	Pittsview 	Vernon
Cahaba Heights 	Fishhead 	Kinston 	Plantersville 	Vestavia
Calera 	Fitzpatrick 	Knoxville 	Pleasant Grove 	Vestavia Hills
Calvert 	Five Points 	Koenton 	Pleasant Home 	Victoria
Camden 	Flat Rock 	Laceys Spring 	Point Clear 	Vina
Camp Hill 	Flomaton 	Lafayette 	Pollard 	Vincent
Campbell 	Florala 	Lake View 	Powhatan 	Vinegar Bend
Campbells Crossroads 	Florence 	Lamison 	Praco 	Vinemont
Canoe 	Foley 	Lanett 	Prairie 	Vredenburgh
Capps 	Forest Home 	Langston 	Pratt City 	Wadley
Capshaw 	Forestdale 	Lapine 	Prattville 	Wagarville
Carbon Hill 	Forester Chapel 	Lavaca 	Prestwick 	Walker Springs
Cardiff 	Forkland 	Lawley 	Prichard 	Wallace
Carlton 	Fort Davis 	Lawrenceville 	Princeton 	Walnut Grove
Carr Mill 	Fort Deposit 	Leeds 	Putnam 	Ward
Carrollton 	Fort Mitchell 	Leesburg 	Pyriton 	Warrior
Carson 	Fort Morgan 	Leighton 	Quinton 	Waterford
Castleberry 	Fort Payne 	Lemoyne 	Ragland 	Waterloo
